DISCOUNT IN %,HOTEL_RATING,NEW PRICE,SAVE IN DOLLARS,DEPARTURE DATE,PACKAGE,DURATION,COUNTRY,CITY,HOTEL,OLD PRICE,GATEWAY,LINK
39,rating:5,$1565,$1020,2024-03-19,All Inclusive,7,Cuba,Varadero,Iberostar Selection Varadero,$2585,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=15&no_hotel=1817&date_dep=20240319&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
38,rating:4,$1655,$1030,2024-03-19,All Inclusive,7,Cuba,Varadero,Playa Vista Azul,$2685,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=15&no_hotel=10860&date_dep=20240319&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
26,rating:5,$2165,$790,2024-03-18,All Inclusive,7,Mexico,Riviera Maya,Royalton Riviera Cancun An Autograph Collection All Inclusive Resort and Casino,$2955,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=24&no_hotel=10652&date_dep=20240318&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
18,rating:5,$2185,$500,2024-04-01,All Inclusive,7,Mexico,Riviera Maya,Grand Sunset Princess All Suites and Spa Resort,$2685,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=24&no_hotel=273&date_dep=20240401&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
24,rating:5,$2425,$800,2024-03-18,All Inclusive,7,Mexico,Riviera Maya,Royalton Splash Riviera Cancun An Autograph Collection All Inclusive Resort,$3225,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=24&no_hotel=12285&date_dep=20240318&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
22,rating:5,$2765,$810,2024-03-18,All Inclusive,7,Mexico,Cancun,Planet Hollywood Cancun An Autograph Collection All Inclusive Resort,$3575,Thunder Bay:YQT,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YQT&dest_dep=2&no_hotel=11899&date_dep=20240318&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
45,rating:4,$935,$790,2024-06-05,All Inclusive,7,Cuba,Varadero,Playa Vista Azul,$1725,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=15&no_hotel=10860&date_dep=20240605&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
49,rating:4.5,$955,$920,2024-03-23,All Inclusive,7,Cuba,Holguin,Playa Pesquero Resort Suites and Spa,$1875,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=6&no_hotel=1592&date_dep=20240323&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
50,rating:4,$1035,$1070,2024-04-11,All Inclusive,7,Cuba,Varadero,Melia Varadero,$2105,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=15&no_hotel=72&date_dep=20240411&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
40,rating:4,$1065,$710,2024-05-09,All Inclusive,7,Cuba,Cayo Coco,Gran Marena Cayo Coco,$1775,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=92&no_hotel=10868&date_dep=20240509&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
31,rating:5,$1335,$620,2024-06-12,All Inclusive,7,Cuba,Varadero,Iberostar Selection Varadero,$1955,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=15&no_hotel=1817&date_dep=20240612&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
35,rating:5,$1485,$830,2024-06-10,All Inclusive,7,Jamaica,Negril,Riu Negril,$2315,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=4244&no_hotel=1779&date_dep=20240610&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
34,rating:5,$1565,$830,2024-06-10,All Inclusive,7,Jamaica,Ocho Rios,Riu Ocho Rios,$2395,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=1843&no_hotel=2056&date_dep=20240610&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
31,rating:5,$1605,$750,2024-06-10,All Inclusive,7,Jamaica,Negril,Princess Grand Jamaica,$2355,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=4244&no_hotel=12449&date_dep=20240610&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
33,rating:5,$1735,$880,2024-06-10,All Inclusive,7,Jamaica,Montego Bay,Riu Palace Aquarelle,$2615,Toronto:YYZ,https://book.sunwing.ca/cgi-bin/handler.cgi?gateway_dep=YYZ&dest_dep=18&no_hotel=12486&date_dep=20240610&duration=7&price_max=999999&searchtype=PA&code_ag=rds&language=en&swg_engine=1&nb_rooms=1&nb_adult_forf=2&nb_adult=2&nb_child_forf=0&nb_child=0
